"year","zone","indicator","measure","value"
"2008-2009","S01001790","Estimated Percentage Of Households Materially Deprived (More Than 3 Items)","Ratio",7
"2008-2009","S01001790","Estimated Percentage Of Working Age Households Materially Deprived (More Than 3 Items)","Ratio",7
"2008-2009","S01001790","Estimated Percentage Of Households On Low Income (Less Than 60% Median) After Housing Costs (Ahc)","Ratio",15
"2008-2009","S01001790","Estimated Percentage Of Households With Low Income (Less Than 60% Median) Before Housing Costs","Ratio",14
"2008-2009","S01001790","Estimated Percentage Of Older Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",20
"2008-2009","S01001790","Estimated Percentage Of Families On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",12
"2008-2009","S01001790","Estimated Percentage Of Working Age Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",12
"2008-2009","S01001790","Estimated Percentage Of Households With Low Income (Less Than 70% Median) And Materially Deprived","Ratio",1
"2008-2009","S01001790","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 300Gbp Per Week","Ratio",21
"2008-2009","S01001790","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 400Gbp Per Week","Ratio",27
"2008-2009","S01001790","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 500Gbp Per Week","Ratio",36
"2008-2009","S01001790","Estimated Percentage Of Households With A First Benefit Unit Income Of Less Than 600Gbp Per Week","Ratio",46
"2008-2009","S01001790","Estimated Percentage Of Households With A First Benefit Unit (Fbu) Income Of Less Than 800Gbp Per Week","Ratio",63
"2008-2009","S01001790","Estimated Percentage Of Households With A Gross Income Of Less Than 300Gbp Per Week","Ratio",22
"2008-2009","S01001790","Estimated Percentage Of Households With A Gross Income Of Less Than 400Gbp Per Week","Ratio",28
"2008-2009","S01001790","Estimated Percentage Of Households With A Gross Income Of Less Than 500Gbp Per Week","Ratio",35
"2008-2009","S01001790","Estimated Percentage Of Households With A Gross Income Of Less Than 600Gbp Per Week","Ratio",46
"2008-2009","S01001790","Estimated Percentage Of Households With A Gross Income Of Less Than 800Gbp Per Week","Ratio",64
"2008-2009","S01001790","Estimated Percentage Of Families On Low Income (Less Than 70% Median) And Materially Deprived","Ratio",5
"2008-2009","S01001790","Estimated Percentage Of Older Households Who Are Materially Deprived (More Than 3 Items)","Ratio",2
"2008-2009","S01001790","Estimated Median 'First Benefit Unit' Household Income Per Week","Median",550
"2008-2009","S01001790","Estimated Median Gross Total Household Income Per Week","Median",568
"2008-2009","S01001790","Estimated Median Net Total Household Income Per Week","Median",497
"2008-2009","S01001790","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Per Week","Median",450
"2008-2009","S01001790","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Older Population Per Week","Median",427
"2008-2009","S01001790","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Families Per Week","Median",466
"2008-2009","S01001790","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Working Age Per Week","Median",577
"2008-2009","S01001790","Estimated Median Net Equivalent Household Income After Housing Costs (Ahc) Per Week","Median",407
"2008-2009","S01001791","Estimated Percentage Of Households Materially Deprived (More Than 3 Items)","Ratio",8
"2008-2009","S01001791","Estimated Percentage Of Working Age Households Materially Deprived (More Than 3 Items)","Ratio",8
"2008-2009","S01001791","Estimated Percentage Of Households On Low Income (Less Than 60% Median) After Housing Costs (Ahc)","Ratio",16
"2008-2009","S01001791","Estimated Percentage Of Households With Low Income (Less Than 60% Median) Before Housing Costs","Ratio",14
"2008-2009","S01001791","Estimated Percentage Of Older Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",19
"2008-2009","S01001791","Estimated Percentage Of Families On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",11
"2008-2009","S01001791","Estimated Percentage Of Working Age Households On Low Income (Less Than 60% Median) Before Housing Costs (Bhc)","Ratio",12
"2008-2009","S01001791","Estimated Percentage Of Households With Low Income (Less Than 70% Median) And Materially Deprived","Ratio",2
"2008-2009","S01001791","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 300Gbp Per Week","Ratio",20
"2008-2009","S01001791","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 400Gbp Per Week","Ratio",25
"2008-2009","S01001791","Estimated Percentage Of Households With First Benefit Unit (Fbu) Income Of Less Than 500Gbp Per Week","Ratio",31
"2008-2009","S01001791","Estimated Percentage Of Households With A First Benefit Unit Income Of Less Than 600Gbp Per Week","Ratio",41
"2008-2009","S01001791","Estimated Percentage Of Households With A First Benefit Unit (Fbu) Income Of Less Than 800Gbp Per Week","Ratio",58
"2008-2009","S01001791","Estimated Percentage Of Households With A Gross Income Of Less Than 300Gbp Per Week","Ratio",20
"2008-2009","S01001791","Estimated Percentage Of Households With A Gross Income Of Less Than 400Gbp Per Week","Ratio",24
"2008-2009","S01001791","Estimated Percentage Of Households With A Gross Income Of Less Than 500Gbp Per Week","Ratio",30
"2008-2009","S01001791","Estimated Percentage Of Households With A Gross Income Of Less Than 600Gbp Per Week","Ratio",41
"2008-2009","S01001791","Estimated Percentage Of Households With A Gross Income Of Less Than 800Gbp Per Week","Ratio",58
"2008-2009","S01001791","Estimated Percentage Of Families On Low Income (Less Than 70% Median) And Materially Deprived","Ratio",4
"2008-2009","S01001791","Estimated Percentage Of Older Households Who Are Materially Deprived (More Than 3 Items)","Ratio",2
"2008-2009","S01001791","Estimated Median 'First Benefit Unit' Household Income Per Week","Median",587
"2008-2009","S01001791","Estimated Median Gross Total Household Income Per Week","Median",616
"2008-2009","S01001791","Estimated Median Net Total Household Income Per Week","Median",534
"2008-2009","S01001791","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Per Week","Median",461
"2008-2009","S01001791","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Older Population Per Week","Median",449
"2008-2009","S01001791","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Families Per Week","Median",500
"2008-2009","S01001791","Estimated Median Net Equivalent Household Income Before Housing Costs (Bhc) Of Working Age Per Week","Median",608
"2008-2009","S01001791","Estimated Median Net Equivalent Household Income After Housing Costs (Ahc) Per Week","Median",416
"2008-2009","S01001792","Estimated Percentage Of Households Materially Deprived (More Than 3 Items)","Ratio",11
"2008-2009","S01001792","Estimated Percentage Of Working Age Households Materially Deprived (More Than 3 Items)","Ratio",11
